reviewID,businessID,reviewerID,date,reviewContent,rating,usefulCount,coolCount,funnyCount
6YcaohSYHCOR8P68oQ2AWw,dMEr_XitO-5S_ezNC6EYZQ,VpbOWrO9Bf-qTKhX4LQgCA,9/21/2016,"Solid steakhouse in the heart of Chicago.  I'm pretty picky about the way things are done and how my steak is cooked if I'm spending over $100 per person for dinner.  That being said, the service was flawless and the food was really good.  The steak was almost cooked perfectly which was a great surprise because I rarely go to ""chain"" type steakhouses.  Well, bad on me.  The sides were pretty standard and kinda forgettable but again the main event was darn near perfect.  What's keeping the last star off the board is meh sides and a very average wine list.  First world problems, right?  Anyway, if you are in the area, pop in for a great meal and experience!",4.0 star rating,0,0,0
QFlaFcpntR7cKywdIoTN8Q,Y1b6Z9D_WzAzUbTsjNJ8IQ,tqklZ5qPH3x2x7lsUqg2dw,9/1/2017,"Great place to have a drink and have awesome views. Great vibes. There is heat lamps and fire. Food is mediocre and small portions (I ordered potato taquitos and it was pretty flavorless. ""Mole"" was NOT mole). Staff also made mistake on the bill which takes down to 3 stars.",3.0 star rating,0,0,0
2IUb4tdyk0LhorM7i9wzjQ,BNaElIaBfIZjyxc4Eo7WLw,qOODN0RsLbNQaLPN3srixQ,9/4/2016,"What a delightful experience!  My husband had reservations, and we dined on shrimp  and salmon tartare while over looking the city.  The view is literally the best I have encountered in Chicago...nice view of the Chicago River, many surrounding buildings, the lake, and Trump tower.  Our server, Eric, recommended the salmon tartare, and it was a stunning appetizer-smokey, flavorful.  The shrimp had edible flowers on it in a very unusual but fantastic take on a shrimp cocktail.",5.0 star rating,0,0,0
Shqe4ne63UUxB6zkzjBnsw,TeJGJA4_iPNMDuQUxmphHg,bns4dW_lypn-vZajGb8AVw,3/20/2017,"Dined here prior to seeing a show at the Oriental Theater and was impressed.  Certainly lagging a half step behind some of the other well known Chicago steak and seafood houses, but they do catch to impress.  The decor is a little stale and the clientele is certainly on the older side....the chairs and floors and ambiance (or lack of) made it almost feel closer to a senior home dining hall than a downtown bustling restaurant.  Service was good but again not amazing.  Food was excellent.",4.0 star rating,0,4,1
XsEO-brB4SrkHlayhl3zRQ,qn3xtrTab0f7BiAgpB_xBg,B3I4McqTM_hzBi7_aZzAMQ,5/24/2016,The waitress opened a sparkling water without asking me then charged me NINE DOLLARS for it. NINE DOLLARS. FOR SPARKLING WATER. THAT I DIDN'T ASK FOR.,1.0 star rating,0,0,2
mT8uOLnYKfQreU2pZkjBnA,ugOU_IJV4qFSaC1BtuazyQ,4VgD1pRYN9kSvJVz11DHPA,6/22/2017,As sports bar OK. And lots of draft beer selections. But the food at Ohare food courts is better.  Beware any place that has too many options on the menu-- everything will be mediocre.   Jerk chicken blah and mashed sweet potatoes barely luke warm.  Soy ginger salmon salad was only OK- salmon overdone.,2.0 star rating,0,0,2
Nq0W3gd8tDiWjQ0TTJYCHg,ndVrtzisx6t3dpK84Is_5g,2hbb3jUms3O_5ydUe4Qo-w,3/24/2015,"Chicago, Illinois- I had a pleasant breakfast with impeccable service by Andre. Even during a peak period, Andre warmly welcomed me and shared the menu with me before promptly bringing my orange juice and water. He was attentive to so many tables refilling morning beverages before they had been emptied from their glasses. I love that the grain filled bread is brought in baskets. My vegetables were nicely seasoned and prepared and I was pleased to see a vegetarian and vegan section on the menu from which I ordered. I will return this week.",4.0 star rating,2,2,0
1jeIRGhcaohfRJGFP6-NRA,jGiKIJCVLZHXQDSNnSLPsw,mXMfuyY_SzJOERBD7k7yIQ,12/8/2017,-Some of the best fresh chips and guacamole I've ever had.,5.0 star rating,0,0,0
QkcBVmsehTriy84T__d5xw,7Ees_Pd8ehKBMAtFzjPpyQ,w8RKq8SB6K99Q-rzwO_tCA,4/25/2017,Wow Bao was delicious - loved the open faced pork belly buns! They were the perfect afternoon snack.,5.0 star rating,0,0,0
qZ4ZpmzKhdr46NsJoO-Log,3Q_N0K28SRJbPy2sz0QqVw,nGq4PYpaQ919rTcHoSsuKA,2/10/2018,What a great meal! Excellent service and food. Our waiter was extremely knowledgeable on the menu and had some great recommendations. We had the fried chicken appetizer and we were in heaven. So delicious. I had the Seabass for dinner and it did not disappoint. We were celebrating my husbands birthday and they brought out a complimentary tableside smores dessert. They poured hot fudge over a chocolate ball and as it melted away you could smell the roasting marshmallows that were inside. Amazing presentation and it was delish! We will definitely be back for our next celebration.,5.0 star rating,1,0,1
_9hsFY9wg12Q4aigpABrsg,s9CsFdNxcmF0jx8T94D3FQ,oApqhtMAKV1RvC_o-whJDg,8/13/2016,Came here on a Saturday evening and the place was fairly empty. We were immediately greeted and allowed to pick whichever table we wanted.,3.0 star rating,1,2,0
OJZuSpZ8Y1QrD8rz1Ydd6Q,Vw-Qn1Hg06h4yBUdDQCXyA,ZTT4ZryNEQCznaktXpByVw,2/3/2018,"Don't be discouraged by a long greet, this place is popular. Management even brought over a complimentary bite for us waiting without us ever saying a word. True hospitality. Kimchi pickles were awesome as were the Tako Tacos with braised baby octopus. The sushi was the best I've ever had, you don't find it like this in Houston. Otoro is almost impossible to find in Houston but thy had it at this place, and at 2 pieces for $20 was very reasonably priced.. The hand rolls are made right in front of you and literally handed to you to eat immediately. Don't know when I'm coming back to Chicago, but when I do.....you'll find me here!",5.0 star rating,0,0,0
X_Im-K4GircfVQcAQYsyig,4wmRu3bpaSpW999SHGK34g,xSiaB8hXMYvPbZyBEgx2Wg,6/21/2017,***Vegetarian Review***,3.0 star rating,3,2,0
wcSe4lU43wdTcoP7leYXEQ,cKZNbMvoqJaUe7n6lf6i7w,4jPsIgMZT4_Ks5-myaW9Bg,12/11/2017,"To be quite honest, I did not think much of pancakes with berry sauce, but Wildberry Pancakes lives up to the hype. Not only are the famous berry bliss pancakes truly blissful; all the brunch items are unique, Insta-worthy, and so delicious you'll find yourself surprised at your appetite.",5.0 star rating,10,4,3
yvghvTntAre__zRsZeFQiw,nMU5Y8IofUupXNWNoeSo9A,bLNS2BFfa9PTxCbT5jJztA,8/26/2016,"Brown Bag Seafood was one of the restaurants that I had bookmarked in advance of my week-long trip to Chicago. So when the bf mentioned he wanted Lobster Rolls, this place came to mind and we decided to go. The store is conveniently located near Millennium Park, and they also have a location inside the Revival Food Hall.",3.0 star rating,4,3,1
cgvZR1uQXFGbgrp1tIPIzQ,TMaIQpLvvJgD3WcMuBGgKw,2s6leOsxsIRIkamW8kIJ7A,9/28/2017,"Yes. Got an Italian sub here the other day during rush hour. Service was quick! Got my sandwich in under 5 mins. Got a 9"" for $7.99 and it was delicious and fresh. Packed full of meat and veggies. It's messy messy but well worth it. I'll definitely be back. It's difficult to find a place in the loop during rush hour, but if you're craving an above-average sub? This is your place.",5.0 star rating,0,0,0
rm-62nSHgsYh2N-1ph4hJg,8KzVXx6GCNBZBdtRGIdZDA,iXDNrZNhPuiO0CWXX6x8ZQ,5/25/2016,"Was offered a chance to come back since there were so many missteps the first time around (namely, many of the items on the new menu not being available), and it was worth it.  The chef offered up some of the dishes for us to try, and we chose some off the menu that we liked.  Everything was good, though some dishes were outstanding.  The Wagyu beef sliders were so delicious, and had we not enjoyed so many other dishes and been full we were going to get another order (it only comes with 2)!  The lemon polenta cake for dessert was also great.  The chopped broccoli salad, suggested by our waiter, was better than I expected.  The lobster rangoons could've used a bit more flavor, but were still good, as were the mussels.",4.0 star rating,0,0,0
ssnfyc54k2xtzB4ec7wL-A,Lih5VgEGoXbohqVlIP_bVg,Nwy--B1UNpqpQCMbqCXEow,11/17/2017,"Wouldn't go again.  People know, and visit chicago for the food experience.",2.0 star rating,0,0,0
0c3QDRrr7wXLDQMgXIoVoQ,doMpF2X9a2F8WoQH78ZL4w,aS7n2ScCaeiBqAWcGEYk9A,9/11/2017,"I have been here several times, and its always a great experience.  Recently we went for a birthday celebration.  Our server Jorge was excellent.  He was knowledgeable and very attentive.  The manager was also very attentive.  I told him I had a food allergy, and he came to our table to let me know that the chef was aware.  The food here is great, we always get a table and the service is impeccable.",5.0 star rating,0,0,0
WNc10Wu9Zf8Mq7UqARHSLA,42fKxghGjTmoBaTsX0OiFg,WqRMZVPxdfabvbHOrGAuGw,6/7/2016,I couldn't believe this is a steak house . Servers are sloppy and the food is too huge portions like feeding cows . I felt like I'm in the some weird surrounding and rude customers . Hearing too much ghetto and cussing words . This place must be joke for real .,1.0 star rating,1,1,2
05Iw2yTIjgm0dtQiuozu1Q,1sMa5flhmM9UGQpBh4u5Iw,FUfjLqW7yfQA6cL1URiV0g,7/28/2017,"Very disappointed  so much hype about this place. The food is lame, they don't put a lot of Nutella and there's not much of a flavor on each item, so much for so called Nutella Cafe.",1.0 star rating,3,0,2
cvp7KfrFoVQ_PAXEWW15ZA,LHpygzroItKWRslDr-e4-g,KoOxHDzZT-NrB2uu-r_Kfw,3/2/2014,"Hoyt's is located in the Wyndham Grand Chicago Riverfront, formerly known as Hotel 71 (most cabbies don't know the name has changed yet). So it's a biz casual place with nice table cloths and plates. Nice breakfast options. Nice appetizers as well. Did not eat dinner here.",4.0 star rating,1,0,0
KEgzcLb6xxAh-sB_nQSz4w,iYZZmQGHC28G-oZcIa4CUw,RvvwCDaTs4_vO5LHTeEtSA,11/5/2014,"Good place to go after work for happy hour in the loop. I've never ate here only been here to meet people for drinks. Some of their special drinks are awful, but they have good beer and other specials. I would definitely go back here. the food looks and smells great. But never tried it. I'm sure one day i will.",3.0 star rating,0,1,0
tj2W5cHNfxJjR6Namhu7Vw,b6DDnuj6WeQozVEXngTEKA,ZCNuIP5shVH6zboTkxOBHQ,11/16/2017,Kenny is absolutely AMAZING!!! I travel a lot for work and he always makes my trips to Chicago enjoyable! He makes the BEST Bloody Mary's! He is extremely professional and always willing to go above and beyond to make sure that my experience is better then the last!,5.0 star rating,0,0,0
JKRDd20e5uFDMJBLBeinPg,OIJFmrg_CsYtKPri4b4sjg,tivh8lr6pzBDNfrJLYWh_g,2/8/2007,"The food here is fine, just like all the other Potbelly's but the service leaves a lot to be desired.  I've been here 6 times and 3 times they got my order wrong.  Each time I order a turkey WITH NO CHEESE and each of those 3 times they put cheese on it.  Since it takes so long for it to go through the toaster, they yell from 10 yards away what you want to order.  I've even been right in front of the person and she repeated back to me NO CHEESE and she put cheese on there anyway.  Seriously.  One time I got a cookie for my wait (and that was only because someone else got something for having to have their sandwich made over also) but nothing except a ""thanks for waiting"" bit.  The first time I was there they had someone walking through the line and writing down what people wanted, apparently they prefer to remake sandwiches instead of possibly getting it right the first time.  I was going to go there yesterday because it is fairly cheap for a sandwhich but the thought of having to deal with their service and hoping it wouldn't take a half hour of my 1-hour lunch to get the correct sandwich, I went somewhere else.",3.0 star rating,1,0,0
X0xXhua-1eX3OOinFYwHcA,oW1A_uqrMSHjAK6D5uZrFA,C8Yds12yDG_G_b1f67ZxSQ,1/7/2016,Bartenders are friendly and food is good.  I liked the Buratta and the Short Rib plates,4.0 star rating,0,0,0
rX4sCIJcX5p7qOeb1b8GzA,4t55Sb9C0lnsCyuZhjcP0A,o27KiAJc2qvP_sr7zn4XEw,10/16/2015,Love it all BUT the coffee at this location is a joke. Yeah the dispensers says Intelligentsia so it should be great right? but clearly they're only adding one tablespoon of coffee for each gallon brewed. I added a drop of milk to my cup and i thought i was drinking tea. And i'm talking about the dark roast.,4.0 star rating,0,0,0
7NGLADXLOqmgfnhG0uysVA,1WjfpwF1-tiKV6U0dtp3og,BfA1Fo-dvwTnwpqZmX-nFg,6/8/2017,I waited an extra 10 minutes since my order was given the wrong name. Once I realized the mistake I told one of the workers the name was wrong who then told the cashier who rang it in what happened. The cashier thought this was funny and just laughed it off. I never received an apology for the mixup. Also my chicken sandwich was dry and fries were over cooked. I only go to this location since they have the cheese cups but they were out- next time I'll just opt for the location on Chicago since it's much better service there.,1.0 star rating,0,0,0
t2A_Izl_AjTiPU8wsNEDTg,ti4Q-kakzeL0bl6uY7yMnw,Nu0KWVH9D0hmlR-ZCF_GPQ,9/10/2017,Everything I had was top notch and very friendly service. Good Bloody Mary and amazing apps of Rib sampler and jerk chicken wings. Both super tender high quality meat. The burger and onion rings were really good. Will definitely return.,5.0 star rating,0,0,0
pK8xGwjb-B_6qm-r-NDWaQ,Nj1S50plrXjrchoDuNT95Q,Lp3VkVECiewJKV_pXzONqw,3/8/2015,"Super cheap, super fast, and a ton of flavor, I wish that Bombay Wraps was in the lobby of MY office building, but a four-block walk will have to do.  I tried the Cheese Paneer wrap with a side of samosas and a soda, which came in for about $9.  The paratha was very fresh and hot; the wrap isn't exactly stuffed, but it was a good lunch portion size for a smaller adult.  I asked them to make it as spicy as possible and was not disappointed (hot/spicy is always my preference!).  The side of samosas was good but also small, so this combo had me a little hungry for more when finished.  The better option for a larger adult is to do the two wraps and soda combo, I think it's a better value.",5.0 star rating,5,0,0
kkrNw-vvBFlJDIouNU0Gvw,8qZyXQDIavElB-UTnLnPUw,WpCL25MnG4c4wcGJj4Jemw,8/24/2017,"This is only 3 stars because the atmosphere was nice if you just wanted to go have a few drinks and relax. If you are coming to eat, I do not recommend. The brisket made me wish I would have walked a block further to blackwood. It had no flavor to the dry rub and was far from great. The pulled chicken was dry and the side salad, I was told, wasn't very appetizing.  The service was just mediocre, and all in all not worth the spend for dinner.",3.0 star rating,2,0,0
gSk9ea93uwLyWMpeVqMkqA,ImnN3MAT6bz6XIepMs6nIQ,XpfQxLyZJzpumpXfMpbt7Q,8/7/2017,"The food and drinks are ON POINT.  Especially for healthy and delicious vegan meals.  My meat-eating friend was nervous to eat here, but she ordered the quinoa bowl with chicken and she LOVED it.  She felt that it was refreshing and healthy but still tasted delicious.  She left there bent on trying to learn how to make it herself when she got back home to Texas.",4.0 star rating,0,0,0
SfHWy3GkTkiqXB-9f1xG6A,kFbnhGBunOGVxxCC19MBuQ,ZqxxhdxKd3Vv8SBz6_53zw,6/30/2010,I've only tried one thing here and it was absolute money.,4.0 star rating,0,0,3
0NsiXw2lqDFydPnM1xKUyA,xM3rdKK2YiazFDD4GnjZ8A,XvDCc88bf48VumWuVchl0A,2/17/2014,I don't know how I've been in Chicago for almost 9 years and I haven't tried this steakhouse! WAH. It's amazing! I really admit this might be the best steak in the city! My boyfriend and I had such a great time and enjoyed the food so much we want to come back again soon!,5.0 star rating,3,2,0
M5Lq6Udue_hlPqz2bdLKhg,jkJgeuxKApa5Ok4e3_oe4Q,5K0d9PjcAc-H0Qa_TNH11A,10/2/2016,"This past Friday, My husband and I took out 17 yr old to this restaurant to celebrate his Navy Bootcamp graduation and our experience was not very celebratory. The waiter, Andrew, came across a tad bit condescending when answering our questions about the menu and he hardly checked us. The place was empty when we arrived, which was late afternoon so we don't know why we couldn't find him when we were ready to order. To top things off, when he saw his tip he came back to my husband and said while pointing at the bill, ""this is the suggested tip."" Andrew, we know what ""suggested"" means and obviously you didn't get what was a suggested tip amount for great service. That was super rude and tacky! Next time, ask if there was anything wrong with our service and/or suggest how you correct it. I'm so glad our son's Congrats cheesecake was on the house!",3.0 star rating,1,0,0
UDRsG8DtB9YiuAjN2M_0dA,ZtwFEooLpf9wMv6saSIJrw,GhSbIK6OPKeEbGlvg0yDPQ,3/24/2016,Recently went to Filini and what an experience!,5.0 star rating,0,0,0
9V0JeORFUMMHsPOlVrQsfg,I7wsZrUFrex9OSIHP-nwrw,4q1UzBHcZhH4Ha0UZNSieA,3/29/2015,"Looking for a hip and cool place to grab some drinks after work, then come here! You'll find this place on the second floor - just follow the red carpet up the stairs when you first get into the hotel.",3.0 star rating,1,1,0
P9pQuKEyoA9OU_V1o1Znsg,jPkbsGAke4HMHODgXM0Djg,ABorYL4y1cnJlSFw_qkLSw,10/6/2011,"I am not that much of a fan, but I don't think it's that bad. For starters don't do your grocery shopping here unless you really need a few items badly because the prices and selection are not stellar.",3.0 star rating,2,0,0
OK6VL3kWlSjUUkfny-Vw6Q,ugSIP2rgLbJobTJIHdd8nA,stWfRDnNvx9o9y95IDgWZw,8/10/2009,"I am a huge fan of Market Creations as they have some of the best foods in the 60601 area, a very popular lunch destination!",4.0 star rating,1,0,0
5uSjUWEjuR6EKIufwR9wIQ,qY7AHkUtFJC9K6uJFdYwTA,P0OHb5-5bNSoH85Dje7gRg,10/18/2016,This is a new location off of Michigan Ave. I had my favorite The Steak Roti and it was fully loaded! It opens 10/20.,5.0 star rating,0,0,0
FYTtWHqz57QonYyP_VIhJA,8zq6cLf45IV4vL_Ctasx2A,tvUK1LD9F2bAy67rFVN7YA,10/23/2016,"We had the brunch buffet, one of the best experience I have. Very good crab and shrimp, desserts.",5.0 star rating,2,1,1
ZnwsOglUr-_7jalrZyL1Nw,RTUVUrWF5_PN1Bsugk8--g,pCLYZlYSfRo1J3moJZFDUw,9/18/2017,I was confused why this place had such a bad rating after walking by. It looked like and awesome happy hour or lunch spot. Today we had visitors in town and took them here. We came a little after peak lunch time with a group of six and easily got a table. The food was average. The waitress was less than friendly but our food came out fairly quickly which is always important at lunch time. When it came time to get the check I asked if we could be split up which almost every lunch place does. I was told NO but we could put in 6 cards. Not ideal at all but I get it. When we got back our receipts to sign the original receipt was missing. The overall average seemed high then one girl caught that her whole receipt was a tip. This wasn't on anyone else receipt. I am 99% sure our waitress added a tip to herself and didn't mention anything. This seems very misleading. She ended up getting a 20% tip from everyone and her bonus tip. Honestly if she had been friendly I could really care less and wouldn't of written this but she was not. I would not recommend coming here and think they are a little shady. Bad staff will kill a restaurant and that is clearly and issue here.,2.0 star rating,14,0,0
HJuwWT4WbHkks3SmfxeCww,YnpFjtWh_RCznkhDWKRHAQ,kS_wz_iHoDXVrU3AZ3T3bw,5/26/2016,I stopped in and had a chicken sandwich with a side salad. Pretty basic right? To the contrary this might have been the best chicken sandwich ever.  It had a jalapeno and humus spread on it that was not too spicy or too mild.  A great surprise.  The environment is nice and clean as well and the service was great.,5.0 star rating,0,0,0
EVQivvs8zG1eIH6L-OQcXA,ojZ95yYtBVIsTJQpbbSwsw,lpmzwliSmaIPAvHy06ljAQ,1/15/2016,This is the saddest noodles&co I've been to.,1.0 star rating,0,0,0
GCH3VgiIOFI4J_tMOCaSBA,jVgAKYcXZph6ILNcVzRzuQ,SaD44wFU9kmAEq2Wc4puBQ,9/22/2017,Walked by this place and was interested to try it. Ordering is complicated and not very well explained.. if it was busy it would have been chaos. Now a days I feel when ordering beverages with additional tax one should be warned. We ate outside and had a nice view of the city. Negative is I was unaware that sauces were on the tables inside so that was a fail. Ordered a whole chicken with 2 sides (mushy peas and corn) corn was average and mushy peas were awesome. Wait staff was awesome.. I will try again just better informed,3.0 star rating,1,0,0
VxJij49E04TncGBQn27Wig,wN0qoT6RqL0IUxMf_318rA,OWqAaSs82oPndgHzcXIZ0g,6/14/2010,"I have been eating here for 13 years. I am not a middle-eastern food expert by any means, but the chicken with lemon sauce is one of my favorite loop lunches.",4.0 star rating,2,0,0
OgKlOfxq_8GLYHpzVD3EaQ,3PmkhCIxg8dBZQSvdp83kw,URp5Ci-PbbAy6aseDOnWFA,8/12/2017,"The best part about this place is the atmosphere. If you're looking for a cute place to go on a coffee date or want to take a basic Instagram pic, this is your place!",4.0 star rating,0,0,0
7IGc4O9vqanuCHMGtQ_1uw,KzZFCaXVo68eRa08nvW97Q,VK4p7tqWRh7mMAht3hG2PA,8/11/2017,Vincent and Marta made our experience fantastic. Couldn't have asked for a better birthday night!!! Truly attentive and thorough. Thank you for an amazing birthday bassment,5.0 star rating,0,3,0
gRLEdVkFNL0KFU8zGvzPsA,ow4nbP42cVK5zQxiW4D86A,YPDW6_HA1JcK8fHJfPPwZg,12/30/2016,"Below average beer selection, terrible mixed drinks (nothing appear to be made onsite and should be for the price), inappropriately dressed bartenders and terrible food.",1.0 star rating,2,0,2
rUdqjDVSOFTXHE3qqM7LMA,dOAj9yI4Y5JsBxQX5D6NBQ,BSuA991ULZNZ9j5alSuZvw,4/29/2017,"From the instant we arrived, we were treated like family ( in a good way)! It starts with  a glass or (what else) Proseco, then a waiter/Smellier, Christian, who's knowledge of Italian wines is encyclopedic. We're not big eaters and after admitting that was advised to just show what we were interested in and he would take care of the portions.  He delivered in spades. What came was the most extraordinary Italian dinner we've had to date. The ambiance is lively without being crushing.  Several glasses of paired wines, amazing food and service that is beyond description. We will definitely come back whenever we're in the Chicago area. Thank you everyone at Proseco!!",5.0 star rating,0,0,0
9gKv6YLQlDgilyVGDrLGeg,21D0_8YEyT7I69iwY6XIlQ,gyPmKbGaevp6HaPmqfUACQ,6/21/2013,"Was interested to try this place as I'm a burger fan.  Usually eat healthy and work out at lunch so I was giving myself a Friday cheat day.  I went all in with the double burger, fries, and a chocolate shake.",3.0 star rating,1,0,0
C4gzbB-6EPUWGtsBV5-aDg,L8WtXaZr2EBLUwIJ9zyqUQ,4sI_0jZZpvWaEZc11TTRXQ,1/23/2017,"My husband and I stopped in on Sunday, January 22. The two people who were working there were not friendly at all. It actually felt like we were a bother. We received our order of a Chicago Style dog and a Maxwell Street Polish in a timely manner; however, it was long enough for me to look around. There was a cobweb hanging from one of the lights to the wall over where people were sitting, and the floor was disgusting. The door leading to the kitchen was propped open and I could see a young lady chopping onions back there with no gloves. Once our order was ready, I noticed that the bottom half of my hot dog bun was hard, and I picked it up and knocked it on the table. The bun was so hard that it didn't even fling crumbs around. I looked over at the two people ""working"" and they were just hanging out, but I decided that neither one would care enough about my hard-as-a rock hot bun, so I just ate the top half. I think restaurants should be clean...if you have time to lean, you have time to clean.",2.0 star rating,0,0,0
ks38iiz4uHpF_U_9OVxF0g,7a9BG-eTJahBhyhqKqba5w,4bRTs_oqvsce8gDOw_WDiQ,6/10/2015,The host was very happy. She greeted me with positive energy and that set the mood for a pleasant experience. The cook who prepared my food had a great personality and was friendly.,5.0 star rating,0,0,0
gJRJ-PO2ZDkwBOealeWjbw,wEJLvvg9s_nQwv86hm3sVQ,DON0R2DtiEhYEXRHmUzvNQ,2/8/2010,"This is my (now not-so-)-secret warm comfort food destination. The decor is a little strange, perhaps (reminds me of The Shining)... but the staff is very helpful and the food hits the spot. Plus, it's an elevator ride and a few footsteps away. Ya can't beat that.",4.0 star rating,2,0,0
qvgxGqjv_75C0q-Jb26Itg,xT9OM3wztrQwObecCHpMBA,RhAygyCgoFG0yyrtKgYftQ,8/31/2016,Amazing,5.0 star rating,0,0,2
hs3_8YZ0v4i1Bs_HABmy8Q,bbJOsnKN0nNkYmnDHOdAwQ,lej3xrHw7BHaXXf30fSfxw,8/2/2016,"My boyfriend and I recently ate here while we were in town for Lollapalooza. We stayed at a nearby hotel and were promptly greeted when we walked through the door: We sat in a cute booth and asked our waiter for his recommendations. Instead, the waiter jokingly told us everything NOT to order. I was a little confused at first (he said definitely not the lobster roll, the New York strip, the spinach and artichoke dip, the bison burger, or the seafood curry.) I thought this was a rather strange tactic, but we still stayed away from those meals.",4.0 star rating,2,0,0
Q9_dPcJ2l44WLZjmHFsqUA,TCnRHh40_HxhHj0Xz6XK9A,yvORGWLsHlj_i1l5Wqi1bA,11/6/2017,"This restaurant gets a five for food and service, and zero for accessibility. Two members of our party were on  knee scooters, and one person (me) is blind. The entrance step, while marked, Was far too high for the people on the knee scooters to safely navigate. I went down to the hostess area to ask if there was a handicap accessible entrance. The answer I got was ""no "". Not ""no, I'm sorry."" Not, ""is there anything we can do to help your party?"" I want to know who they paid off so that they don't have to meet ADA requirements. Common decency should have encouraged them to provide at least minimal accessibility to those with disabilities. I was very disappointed",3.0 star rating,0,0,0
CC9SH9hGGSXiU5aPraDm5Q,YMSM63ZnGDW2hbb6rvr8kA,5v6fZjwZW8L3voLy4RoFSg,8/7/2017,"It looked like it would be a cute place to have a cocktail for happy hour along the river walk. The hostess was busy talking to her coworkers to barely notice that we were standing there and wanting a table. However, she does seat us quickly(as it wasn't very busy) even though it seemed like we had put her out of her way. We were given water. We then sat there for 20 minutes and nobody came by to take our order so we decided to leave. What a big disappointment.",1.0 star rating,0,0,0
8o4CJADHjaJt0s4lIDC6ww,kbtisZOD6By-10jvCXgpoA,ju1QZz6-UaG4KIHW8TsHHg,7/31/2016,Kudos to Kida!,5.0 star rating,0,0,0
